Clinician/Group Name,Phone,Address,Website,City/Area,Gender,Virtual Option,Insurance List,Specialty(ies) List,Ages Served,Therapeutic Approaches
A Healing Paradigm,404-635-6021,"1867 Harvard Ave.
College Park, GA	30337",www.AHealingParadigm.com,College Park,"Female, Male",In Person and Virtual Options,"Aetna, Various, AmBetter, Amerigroup, APS, BlueCross/BlueShield, Cigna, Coventry, Medicaid, Peachstate, Tricare, Wellcare","Addiction/Substance Use, Anxiety, Depression, Eating Disorders/Body Image, Behavioral Challenges, Family Changes, Grief & Loss, Psychoeducational Testing, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"Holistic/Integrative Therapy, Trauma Focused Therapy"
A New Start Counseling Center,(770) 461-9944,"115 Habersham Dr.
Fayetteville, GA 30214",www.newstartcounseling.com,Newnan,"Female, Male",In Person Only,Various,"Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Eating Disorders/Body Image, Family Changes, Grief & Loss, Identity Development, Learning Differences, OCD, Trauma or PTSD",All Ages,
Active Resilience Counseling (ARC),(678) 658-3699,"659 Auburn Avenue Northeast, Suite/Apt 228
Atlanta, GA 30312",https://www.atlarc.org/,"College Park
Atlanta",Female,In Person and Virtual Options,Private Pay Only; Superbill Provided for Out-of-Network Reimbursement,"Academic Support, Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, OCD, Self-Esteem, Self-Harm, Social Skill Development, Stress Management, Trauma or PTSD",12 and older,"Acceptance & Committment Therapy (ACT), CBT, Attachment-Based Therapy, DBT, EMDR, Somatic Therapy, Other/Eclectic"
"Adair, Candace B., M.D.",(404) 343-3870,"Brookwood Exchange Building
1708 Peachtree Street NW Suite 405
Atlanta, GA  30309",www.benewellness.com,Atlanta,Female,In Person Only,Various,"Academic Support, ADHD, Adoption, Ander Management, Anxiety, Behavioral Challenges, Depression, Family Changes, Grief & Loss, OCD, Family Therapy & Parenting Support, Psychiatrist, Stress Management, Trauma or PTSD",5 and older,
"Affiliated Psychological Services, P.C.",( 770) 205–5760,"6030 Bethelview Road
Suite 401
Cumming, GA 30040",https://www.apsdoc.com/,Cumming,Male,In Person Only,Various,"ADHD, Anxiety, Depression, Family Changes, Learning Differences, OCD, Family Therapy & Parenting Support, Trauma or PTSD",All ages,"CBT, Family Systems Therapy"
"Ainsworth, Elisabeth, MSW",,"3823 Roswell Rd, Suite 207, Marietta, GA 30068",https://www.risegentlytherapy.com/,Marietta,Female,In Person and Virtual Options,Private Pay; Sliding Scale via Open Path Collective ($40-70/session); Accepts FSA/HSA,Family Therapy & Parenting Support,Teens and adults,"Somatic Therapy, Trauma Focused Therapy"
Amy Robbins Counseling,706-406-3404,"Grant Park
470 Cherokee Avenue SE
Atlanta, GA 30315

Kirkwood
1986 Hosea L. Williams Drive NE
Suite C
Atlanta, GA 30317",https://amyrobbinscounseling.com/,Atlanta,"Female, Male",In Person Only,Out-of-Network Only; Superbill Provided,"ADHD, Anxiety, Depression, Developmental (ASD), Eating Disorders/Body Image, Self-Esteem, Social Skill Development, Trauma or PTSD",All ages,"Acceptance & Committment Therapy (ACT), CBT, EMDR"
Anchor Hospital,678-251-3200,"5454 Yorktowne Drive
Atlanta, Georgia 30349",https://anchorhospital.com/,,,In Person and Virtual Options,"Most Major Carriers, Medicare, Managed Medicaid, TRICARE (not traditional GA Medicaid)","Residential, Crisis Intervention",Teens and adults,Trauma Focused Therapy
"Anderson, Malcom, PhD",770-582-0532,"4530 South Berkeley Lake Road, Suite B
Berkeley Lake, GA 30071",https://drmalcolmanderson.net/bio/,"Norcross
Duluth",Male,In Person and Virtual Options,"Self-Pay Only ($200/hr individual, $250/hr couples/family); documentation provided for reimbursement","Ander Management, Anxiety, Depression, Family Changes, Grief & Loss, Identity Development, Family Therapy & Parenting Support, Social Skill Development",All ages,
"Appleton, Tricia, M.D.",(404) 377-3607,"308 4th Avenue
Decatur, GA 3030",www.triciaappletonmd.com,Decatur,Female,In Person Only,,"Anxiety, Behavioral Challenges, Depression, Psychiatrist, Self-Esteem, Trauma or PTSD",Teens and adults,"Attachment-Based Therapy, EMDR, Psychodynamic/Psychoanalytic, Somatic Therapy, Other/Eclectic"
Art It Out,(770) 726-9589,"255 Village Parkway Suite 580
Marietta, GA  3006",http://www.artitout.com,Marietta,"Female, Male",In Person and Virtual Options,Various,"Anxiety, Art Therapy, Family Changes, Self-Esteem, Social Skill Development, Stress Management, Summer Camps & Programs, Developmental (ASD)",All ages,"Art/Expressive Therapy, CBT, DBT, Play Therapy"
Atlanta Center for Wellness, 404.343.4162,"6100 Lake Forrest Drive, Suite 450
Atlanta, GA 30328",https://atlantacenterforwellness.com/,Sandy Springs,"Female, Male",In Person Only,Varies by Clinician (shared-office collective; each maintains independent billing),"Addiction/Substance Use, Anxiety, Depression, Self-Esteem, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Trauma or PTSD, Social Skill Development, Psychiatrist",All ages,"Acceptance & Committment Therapy (ACT), CBT, DBT, EMDR, Internal Family Systems (IFS), Play Therapy, Somatic Therapy"
Atlanta Counseling Center,770-396-0232,"6111 Peachtree Dunwoody Rd Building C
Atlanta, GA 30328",https://atlantacounselingcenter.org/,Atlanta,"Female, Male",In Person and Virtual Options,Out-of-Network Only; Superbill/Reimbursement Forms Provided; Nonprofit Sliding-Scale Assistance Fund (Reid Fund),"ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, OCD, Self-Esteem, Self-Harm, Stress Management, Trauma or PTSD",All ages,
